station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
0,station_000000,4,glofas_v5,15,-24,stations/station_000000.json,Barby,Elbe,Germany,11.88224,51.98484,11.875,52.025,,,4.493,94060.0,93699.5,-0.38,0.783,0.808,139.387,1814,0.783,0.808,139.387,1814,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
1,station_000001,5,glofas_v5,15,-24,stations/station_000001.json,Wittenberg / Lutherstadt,Elbe,Germany,12.64631,51.85653,12.625,51.875,,,2.522,61879.0,60938.5,-1.52,0.645,0.759,108.179,1814,0.645,0.759,108.179,1814,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
2,station_000002,6,glofas_v5,15,-24,stations/station_000002.json,Malliss OP,Muritz-Elde,Germany,11.34525,53.19063,11.425,53.175,,,5.591,2879.0,3161.9,9.83,0.811,0.891,2.489,1742,0.811,0.891,2.489,1742,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4,station_000004,11,glofas_v5,15,-24,stations/station_000004.json,Calbe Grizehne,Saale,Germany,11.81221,51.91641,11.825,51.925,,,1.297,23719.0,23560.5,-0.67,0.805,0.82,33.444,1815,0.805,0.82,33.444,1815,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
5,station_000005,12,glofas_v5,15,-24,stations/station_000005.json,Tangermuende,Elbe,Germany,11.97805,52.54131,11.975,52.575,,,3.752,97780.0,97683.9,-0.1,0.79,0.82,137.881,1826,0.79,0.82,137.881,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
6,station_000006,14,glofas_v5,15,-24,stations/station_000006.json,Wittenberge,Elbe,Germany,11.75944,52.98553,11.775,52.975,,,1.567,123532.0,122945.9,-0.47,0.815,0.844,145.408,1826,0.815,0.844,145.408,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
7,station_000007,17,glofas_v5,15,-24,stations/station_000007.json,Havelberg Stadt,Lower Havel waterway,Germany,12.07804,52.82408,12.075,52.825,,,0.228,23858.0,23639.6,-0.92,0.832,0.877,21.416,1826,0.832,0.877,21.416,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
8,station_000008,18,glofas_v5,15,-24,stations/station_000008.json,Halle-Trotha UP,Saale,Germany,11.95455,51.51425,11.925,51.525,,,2.368,17988.0,17857.2,-0.73,0.744,0.801,31.201,1826,0.744,0.801,31.201,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
9,station_000009,19,glofas_v5,15,-24,stations/station_000009.json,Neu Darchau,Elbe,Germany,10.8888,53.23226,10.975,53.225,,,5.794,131950.0,131611.8,-0.26,0.854,0.875,134.179,1824,0.854,0.875,134.179,1824,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
10,station_000010,26,glofas_v5,15,-24,stations/station_000010.json,Hohensaaten-Finow,Oder,Germany,14.14112,52.86474,14.125,52.825,,,4.55,109564.0,111216.0,1.51,0.737,0.781,123.089,1826,0.737,0.781,123.089,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11,station_000011,27,glofas_v5,15,-24,stations/station_000011.json,Leun (Neu),Lahn,Germany,8.35528,50.54513,8.375,50.525,,,2.637,3571.0,3632.2,1.71,0.734,0.777,21.707,1826,0.734,0.777,21.707,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
12,station_000012,28,glofas_v5,15,-24,stations/station_000012.json,Maxau,Rhine,Germany,8.30561,49.03896,8.275,49.025,,,2.718,50196.0,50777.1,1.16,0.912,0.93,198.658,1826,0.912,0.93,198.658,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
13,station_000013,31,glofas_v5,15,-24,stations/station_000013.json,Frankfurt-Osthafen,Main,Germany,8.71503,50.10571,8.725,50.125,,,2.26,24764.0,24726.8,-0.15,0.885,0.891,59.407,1826,0.885,0.891,59.407,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
14,station_000014,33,glofas_v5,15,-24,stations/station_000014.json,Plochingen,Neckar,Germany,9.41924,48.70741,9.425,48.725,,,2.001,3995.0,3948.8,-1.16,0.791,0.797,27.04,1826,0.791,0.797,27.04,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
15,station_000015,36,glofas_v5,15,-24,stations/station_000015.json,Kaub,Rhine,Germany,7.76499,50.08541,7.775,50.075,,,1.36,103488.0,103792.9,0.29,0.923,0.944,245.926,1826,0.923,0.944,245.926,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
16,station_000016,38,glofas_v5,15,-24,stations/station_000016.json,Cochem,Moselle,Germany,7.16831,50.14332,7.175,50.125,,,2.092,27088.0,27071.3,-0.06,0.881,0.888,168.051,1789,0.881,0.888,168.051,1789,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
17,station_000017,40,glofas_v5,15,-24,stations/station_000017.json,Koeln,Rhine,Germany,6.96332,50.93691,6.975,50.925,,,1.557,144231.5,144451.8,0.15,0.93,0.943,372.482,1826,0.93,0.943,372.482,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
