station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
0,station_000000,1,iyp3,15,-24,stations/station_000000.json,Schwabelweis,Danube,Germany,12.13873,49.02358,12.125,49.125,163,768,11.322,35399.0,35881.5,1.36,0.53,0.58,203.656,1826,0.53,0.58,203.656,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
1,station_000001,2,iyp3,15,-24,stations/station_000001.json,Hofkirchen,Danube,Germany,13.11521,48.67663,13.125,48.625,165,772,5.786,47496.0,49256.6,3.71,0.463,0.549,287.326,1826,0.463,0.549,287.326,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
2,station_000002,3,iyp3,15,-24,stations/station_000002.json,Pfelling,Danube,Germany,12.74738,48.87984,12.625,48.875,164,770,8.966,37687.0,37745.9,0.16,0.564,0.601,204.314,1826,0.564,0.601,204.314,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
3,station_000003,4,iyp3,15,-24,stations/station_000003.json,Barby,Elbe,Germany,11.88224,51.98484,11.875,52.125,151,767,15.593,94060.0,93983.2,-0.08,0.53,0.577,203.736,1814,0.53,0.577,203.736,1814,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4,station_000004,5,iyp3,15,-24,stations/station_000004.json,Wittenberg / Lutherstadt,Elbe,Germany,12.64631,51.85653,12.625,51.875,152,770,2.522,61879.0,60864.0,-1.64,0.481,0.504,137.569,1814,0.481,0.504,137.569,1814,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
5,station_000005,6,iyp3,15,-24,stations/station_000005.json,Malliss OP,Muritz-Elde,Germany,11.34525,53.19063,11.625,53.375,146,766,27.68,2879.0,3019.7,4.89,0.007,0.678,7.135,1742,0.007,0.678,7.135,1742,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
7,station_000007,8,iyp3,15,-24,stations/station_000007.json,Grosse Traenke Wehr UP,Muggelspree,Germany,13.99639,52.36906,13.875,52.375,150,775,8.267,6170.9,6207.7,0.6,-0.598,0.239,10.696,730,-0.598,0.239,10.696,730,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
9,station_000009,10,iyp3,15,-24,stations/station_000009.json,Plau OP,Muritz-Elde,Germany,12.25991,53.4567,12.375,53.375,146,769,11.862,1230.0,1258.4,2.31,-3.678,0.754,3.874,1815,-3.678,0.754,3.874,1815,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
10,station_000010,11,iyp3,15,-24,stations/station_000010.json,Calbe Grizehne,Saale,Germany,11.81221,51.91641,11.625,51.875,152,766,13.646,23719.0,19541.2,-17.61,0.369,0.547,55.96,1815,0.369,0.547,55.96,1815,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11,station_000011,12,iyp3,15,-24,stations/station_000011.json,Tangermuende,Elbe,Germany,11.97805,52.54131,11.875,52.625,149,767,11.622,97780.0,97538.8,-0.25,0.517,0.567,209.088,1826,0.517,0.567,209.088,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
12,station_000012,13,iyp3,15,-24,stations/station_000012.json,Bernburg UP,Saale,Germany,11.73542,51.79679,11.625,51.875,152,766,11.541,19660.0,19541.2,-0.6,0.429,0.534,49.218,1826,0.429,0.534,49.218,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
